A|art.|un|
ARCHIPELAGO|n.|archipelago|
ARCHITECT|n.|architecte (-ura)|
ARCHITRAVE|n.|architrav|
ARCHIVES|n.|archive (-ario)|
ARCTIC|adj.|arctic|
ARDENT|adj.|ardent, fervent, impetuosi|
ARDOUR|n.|ardore|
ARDUOUS|adj.|penosi, laborosi, fatigant|
AREA|n.|area, superficie, spacie|
ARENA|n.|arena|
ARGENT|n.|argente (-in)|
ARGILLACEOUS|adj.|argilosi, argilatri|
ARGUE|v.|arguer (-ment); (dispute) argumentar, disputar|
ARIA|n.|arie|
ARID|adj.|arid (-itá)|
ARIGHT|adv.|just(men)|
ARISE|v.|levar se|
ARISE OUT OF|v.|nascer ex, provenir|
ARISTOCRAT|n.|aristocrate (-ie, -ic)|
ARITHMETIC|n.|aritmetica|
ARITHMETICIAN|n.|aritmetico|
ARK|n.|(Noah's) area de Noé|
ARM|n.|(limb) brasse; (mil.) arme|
ARM|v.|armar (-ament)|
ARMCHAIR|n.|fotel|
ARMFUL|n.|brassade|
ARMISTICE|n.|armisticie|
ARMOUR|v.|blindar|
ARMOUR|n.|curasse|
ARMOURY|n.|arsenale; armería|
ARMPIT|n.|axille|
ARMY|n.|armé|
AROMA|n.|aroma (-tic), odore, parfum|
AROUND|prep.|circum|
AROUND|adv.|(approx.) circa, pluminu|
AROUSE|v.|alarmar, avigilar; (stir up) excitar, iritar|
ARQUEBUS|n.|arcabuse (-ero)|
ARRACK|n.|aracc|
ARRAIGN|v.|acusar, inculpar|
ARRANGE|v.|arangear (-ament), ordinar; disposir|
ARRANT|adj.|archi-|
ARRAY|n.|órdine, serie; vestes|
ARRAY|v.|ordinar, arangear; vestir|
ARREARS|n.|residue, rest, summa ínpayat|
ARREST|n.|areste (-ar); (stop) impedir|
ARRIVAL|n.|ariva; (person) ariva(n)te|
ARRIVE|v.|arivar, advenir|
ARROGANT|adj.|arogant (-ie), insolent, pretensiosi|
ARROGATE|v.|arogar, pretender|
ARROW|n.|fleche|
ARROWSHAPED|adj.|sagittiform|
ARSENAL|n.|arsenale, armería|
ARSENIC|n.|arsenic|
ARSON|n.|incendiation|
ART|n.|arte (-ist, -istic)|
ART GALIERY|n.|pinacoteca|
ARTERY|n.|arterie (-osclerose)|
ARTFUL|adj.|astut (-ie)|
ARTHRITIS|n.|artrite|
ARTICHOKE|n.|artichoc|
ARTICLE|n.|articul; (thing) cose|
ARTICULATE|v.|articular (-ation)|
ARTIFICE|n.|artificie|
ARTIFICIAL|adj.|artifical (-itá)|
ARTIFICIAL SILK|n.|rayonne|
ARTILLERY|n.|artillerie|
ARTISAN|n.|artisian (-al, -atu)|
ARTLESS|adj.|naiv, inafectat, simplic, ingenui (-tá)|
AS|adv., conj.|(because) proque; (manner) quam|
AS A MATTER OF FACT|n.|advere|
AS A RULE|adv.|generalmen, in general|
AS FAR AS|prep.|til|
AS FAR AS I KNOW|adv.|secun quo yo save|
AS LIEF|v.|preferer|
AS MUCH AS|adv.|tant quant|
AS RICH AS|adv.|tam rich quam|
AS SOON AS POSSIBLE|adv.|max bentost possibil|
AS THOUGH|adv.|quam si, quasi|
AS TO|prep.|concernent|
ASBESTOS|n.|asbeste|
ASCEND|v.|ascender (-Sion), montar|
ASCENDANCY|n.|superioritá|
ASCERTAIN|v.|constatar|
ASCETIC|adj.|(person) ascete (-ic, -isme)|
ASCRIBE|v.|atribuer, imputar|
ASH|n.|cindre (-iere); (tree) fraxine|
ASHAMED|adj.|hontosi|
ASHTRAY|n.|cindriere|
ASIDE|adv.|ad-látere|
ASININE|adj.|asinin|
ASK|v.|questionar, interrogar|
ASK FOR|v.|petir, demandar|
ASKEW|adj.|obliqui|
ASLANT|adj.|obliqui, inclinat, clin|
ASLEEP|adj.|dormient, indormit|
ASP|n.|aspide, vípere; (tree) tremul|
ASPARAGUS|n.|asparge|
ASPECT|n.|aspecte, vis-punctu|
ASPERITY|n.|aspritá, acerbitá|
ASPERSION|n.|calumnie|
ASPHALT|n.|asfalte|
ASPHYXIATE|v.|asfixiar (-ation)|
ASPIRATE|v.|aspirar (-ant, -ation)|
ASPIRE|v.|aspirar (a), penar, efortiar|
ASS|n.|ásino; stupidon, stulton|
ASSAIL|v.|ataccar, assaltar|
ASSASSIN|n.|mortard|
ASSASSINATE|v.|assassinar (-ation, -ator)|
ASSAULT|n.|assalte (-ar)|
ASSAY|v.|provar, essayar|
ASSEMBLE|v.|convenir, assemblar, reunir se|
ASSEMBLY|n.|assemble, convenida|
ASSENT|v.|assentir, consentir|
ASSERT|v.|asserter (-ion), afirmar|
ASSESS|v.|evaluar (-ation), taxar|
ASSETS|n.|actives|
ASSIDUOUS|adj.|assidui (-tá), diligent|
ASSIGN|v.|assignar, atribuer|
ASSIMILATE|v.|assimilar (-ation)j incorporar|
ASSIST|v.|auxiliar, assister (-ente, -entie)|
ASSIZES|n.|assises, tribunale|
ASSOCIATE|n.|socio|
ASSOCIATE|v.|associar (se)|
ASSOCIATION|n.|association, societé, club|
ASSONANCE|n.|assonantie|
ASSORT|v.|assortir (-iment), classificar|
ASSUAGE|v.|mitigar, moderar, lenir, aleviar|
ASSUME|v.|suposir; (usurp) usurpar|
ASSUME A LIKENESS|v.|simular|
ASSUME AS TRUE|v.|acceptar|
ASSUMPTION|n.|hipotese|
ASSURANCE|n.|(insurance) assecurantie (self-confidence) aplombe|
ASSURE|v.|assecurar, afirmar|
ASTER|v.|aster|
ASTERISK|n.|asterisco|
ASTERN|adv.|a sterne, a dorse|
ASTHMA|n.|astma (-tic, -tico)|
ASTONISH|v.|astonar (-ament, -ant), surprisar|
ASTRADDLE|adj.|con gambes furcat|
ASTRAL|adj.|astral|
ASTRINGENT|adj.|astringent|
ASTROLOGER|n.|astrologo (-ie, -ic)|
ASTRONOMER|n.|astronom (-ie, -ic)|
ASTUTE|adj.|astut (-ie)|
ASUNDER|adj.|apart, separat; dis-|
ASYLUM|n.|asil, hospicie por alienates|
AT|prep.|(place) in (London), a; (time) ye; (house, shop) che; (towards) vers, contra, a; (at the rate of) tri horloges a Fr. 100|
AT A PREMIUM|adv.|súper pari, súper nominale|
AT A STRETCH|adv.|sin intermittentie|
AT ALL EVENTS|adv.|in omni casu|
AT ANY RATE|adv.|in omni casu|
AT EASE|adv.|sin gena|
AT FIRST|adv.|in prim|
AT FIRST SIGHT|adv.|ye prim vise|
AT HAND|adv.|che manu, proxim|
AT HOME|adv.|in hem|
AT ISSUE|adv.|in dispute, in question|
AT LARGE|adj.|líber|
AT LAST|adv.|in fine|
AT LEAST|adv.|adminim, alminu|
AT LENGTH|adv.|in fine; detalliatmen|
AT MOST|adv.|admaxim|
AT ONCE|adv.|strax; simultanmen|
AT ONE'S WITS' END||esser al fine de su Latin, plu ne saver quo far|XXX FIXME --
AT PAR|adv.|al pari|
AT PRESENT|adv.|in presente, nu|
AT RANDOM|adv.|in hasarde|
AT SIGHT|adv.|che vise|
AT THE BACK OF|adv.|detra|
AT THE BARBER'S|adv.|che li barbero|
AT THE END OF ONE'S TETHER|adv.|al fine de su corde|
AT THE OUTSET|adv.|in prim linea|
AT THREE O'CLOCK|adv.|ye tri horas|
AT TIMES|adv.|a vezes|
AT VARIANCE|adj., adv.|discordant, in dissension|
AT WILL|adv.|secun arbitrie|
ATHEISM|n.|ateisme|
ATHEIST|n.|ateo|
ATHLETE|n.|atlete (-ic)|
ATLAS|n.|atlas, landcarte|
ATMOSPHERE|n.|atmosfere (-ic)|
ATMOSPHERICS|n.|atmosferic perturbationes|
ATOLL|n.|atoile|
ATOM|n.|atom (-ic, -bombe)|
ATONE FOR|v.|expiar, compensar|
ATROCIOUS|adj.|atroci (-tá), horribil|
ATROPHY|n.|atrofie (-ar)|
ATTACH|v.|atachar (-ament), fixar, ligar|
ATTACK|n.|atacca|
ATTACK|v.|ataccar|
ATTAIN|v.|atinger (-ement), obtener|
ATTAINMENTS|n.|aquisition mental|
ATTAINT|v.|macular|
ATTEMPT|v.|(on life) atentar (-ate); provar, penar|
ATTEND|v.|(wait) atender; (be present) assister, esser present; (pay attention) atenter; (wait on) servir, cuidar|
ATTENDANT|n.|servitor; acompaniator|
ATTENTION|n.|atention|
ATTENUATE|v.|atenuar, diluer, rarificar|
ATTEST|v.|atestar|
ATTIC|n.|mansarde|
ATTIRE|n.|vestiment, costume|
ATTITUDE|n.|atitude, position, posa, postura|
ATTORNEY|n.|avocate, mandatario; agente, jurist|
ATTORNEY GENERAL|n.|procurator|
ATTRACT|v.|atraer (-tion, -tiv)|
ATTRIBUTE|n.|qualitá, caracteristicum|
ATTRIBUTE|v.|atribuer|
ATTRITION|n.|frottation, atrition|
ATTUNE|v.|acordar|
AUBURN|adj.|rubi-aurin, ross|
AUCTION|n.|auction (-ar, -ator)|
AUDACIOUS|adj.|audaci (-tá), temerari|
AUDIBLE|adj.|audibil (-itá), perceptibil|
AUDIENCE|n.|(hearing) audientie, audition; (persons) auditorie, spectatores|
AUDIT|n.|conto-control (-ero)|
AUDITOR|n.|revisor, verificator de contos|
AUDITORIUM|n.|auditoria|
AUGER|n.|(per)forator|
AUGMENT|v.|augmentar (-ation), supleer, suplementar|
AUGURY|n.|augure|
AUGUST|adj.|majestic|
AUGUST|n.|august|
AUNT|n.|tanta|
AUREOLA|n.|aureol|
AURICLE|n.|orel(ette), auricul|
AURIFEROUS|adj.|auriferi|
AURORA BOREALIS|n.|aurora boreal, luce polari|
AUSCULTATE|v.|auscultar|
AUSPICES|n.|auspicies|
AUSPICIOUS|adj.|de bon augure, oportun, favorabil|
AUSTERE|adj.|austeri (-tá)|
AUSTRAL|adj.|sudic|
AUTHENTIC|adj.|autentic (-itá)|
AUTHOR|n.|autor (-essa, -isar)|
AUTHORITY|n.|autoritá; (collect) autorité|
AUTO|prefix|auto-crate, -graf, -mobile, -nomie|
AUTUMN|n.|autun (-al)|
AUXILIARY|adj.|auxiliari|
AVAIL|v.|valer|
AVAIL ONESELF OF THE OPPORTUNITY|v.|profitar li ocasion|
AVAILABLE|adj.|disponibil, obtenibil; (person) accessibil; (ticket) valid|
AVALANCHE|n.|avalanche|
AVARICIOUS|adj.|avari, cupid (-itá)|
AVENGE|v.|(re)venjar|
AVENUE|n.|avenúe, allé|
AVER|v.|afirmar|
AVERAGE|n.|medial valore; (marine insurance) havarie|
AVERSE|adj.|aversi, desinclinat|
AVERSION|n.|aversion|
AVERT|v.|impedir, detornar, preventer|
AVIARY|n.|aviarium|
AVIATION|n.|aviation|
AVID|adj.|avid (-itá)|
AVOCATION|n.|vocation, profession, ocupation, mestiere|
AVOID|v.|evitar|
AVOUCH|v.|asserter|
AVOW|v.|confesser, declarar|
AWAIT|v.|atender|
AWAKE|adj.|vigil|
AWAKE|v.|avigilar (se)|
AWAKEN|adj.|vigil|
AWAKEN|v.|avigilar (se)|
AWARD|n.|judicament, sententie; (prize) premie|
AWARD|v.|adjudicar|
AWARD A PRIZE TO|v.|premiar|
AWAY|adv.|for, absent|
AWE|n.|timore, veneration, reverentie|
AWEARY|adj.|lassi, fatigat|
AWFUL|adj.|terribil, horribil|
AWHILE||poc momentes|XXX FIXME
AWKWARD|adj.|ínhabil, genant, rustic; embarassant, plump|
AWL|n.|alen|
AWNING|n.|(canopy) marquise, covritura|
AWRY|adj.|tordet, obliqui|
AXE|n.|hache|
AXIOM|n.|axioma (-tic)|
AXIS|n.|axe|
AXLE|n.|axe|
AYE|adv.|yes|
AZIMUTH|n.|azimute|
AZURE|adj.|azur|
BABBLE|v.|babillar (-aci, -ada)|
BABE|n.|bebé, infante (-ie)|
BABEL|n.|babel|
BABOON|n.|paviane|
BABY|n.|bebé, infante (-ie)|
BACCHALAUREATE|adj.|baccalaureat|
BACCHANAL|adj.|debochant|
BACHELOR|n.|celibo; (graduate) baccalaureo|
BACILLUS|n.|bacille|
BACK|v.|(a horse) retroducter; (intr.) retropassuar; (sails) baccar; (support) suportar, subtener|
BACK|n.|dorse, parte posteriori|
BACKBITE|v.|calumniar|
BACKBONE|n.|spine dorsal|
BACKGAMMON|n.|trictrac|
BACKGROUND|n.|funde|
BACKPEDAL|v.|retropedalar|
BACKSHEESH|n.|bakchich|
BACKSIDE|n.|cul|
BACKSLIDE|v.|rebeller, apostasiar|
BACKSLIDER|n.|apostatico|
BACKSTAIRS|n.|detra-scaliere|
BACKWARDS|adv.|retro-|
BACKWARDS AND FORWARDS|adv.|a ci e ta|
BACKWATER|n.|aqua barrat|
BACON|n.|larde|
BACTERIA|n.|bacteries|
BAD|adj.|mal, malin, maliciosi, putrid|
BAD WEATHER|n.|grisú|
BAD-TEMPERED|adj.|malhumorat|
BADGE|n.|signe, marca; (of rank) insigne|
BADGER|v.|molestar, tormentar|
BADGER|n.|taxon|
BADINAGE|n.|jocada, burleríe|
BAFFLE|v.|confuser, impedir, frustrar|
BAFFLING|adj.|mocant, confusent|
BAG|n.|sac; (purse) borse; (lady's handbag) recitul; (valise) valise|
BAGATELLE|n.|bagatelle|
BAGGAGE|n.|bagage|
BAGGY|adj.|sacatri, sacformi|
BAGPIPE|n.|cornamuse|
BAIL|n.|garante|
BAILIFF|n.|economo, intendante; sheriff|
BAIRN|n.|infante, filie|
BAIT|v.|lurar; (annoy) provocar|
BAIT|n.|lure|
BAIZE|n.|bayette|
BAKE|v.|cocinar, panificar; (harden) indurar|
BAKERY|n.|panería|
BALANCE|n.|(poise) equilibrie; (of scales) balancie; (comm.) bilancie, saldo; (remainder) reste|
BALANCE|v.|egalisar, equilibrar; (swing) balansar; (accounts) bilanciar|
BALCONY|n.|balcon|
BALD|adj.|nud, calvi|
BALDACHIN|n.|baldachine|
BALDERDASH|n.|nonsense, galimatias|
BALDHEAD|n.|calvon|
BALE|n.|pacca, balle|
BALE|v.|inballar; (a boat) eversar li aqua|
BALEFUL|adj.|funest|
BALK|n.|(timber) trave|
BALK|v.|obstructer, impedir|
BALL|n.|globul; (firearms) bul; (games) balle; (of foot) tenare; (of yarn) pelote; (dance) ball|
BALLAD|n.|ballade, canzon|
BALLAST|n.|ballast|
BALLET|n.|ballette|
BALLOON|n.|ballon|
BALLOT|v.|balotar (-ation, -ament)|
BALM|n.|balsam (-ic)|
BALUSTER|n.|balustre (-ade)|
BAMBOO|n.|bambú|
BAMBOOZLE|v.|dupar, fraudar|
BAN|n.|bann|
BAN|v.|bannir, proscrir (-ition), interdieter (-ion)|
BANAL|adj.|banal (-itá)|
BANANA|n.|banane|
BAND|v.|atruppar se, junter se|
BAND|n.|bande; (mus.) capelle, orchestre; (of soldiers etc.) truppe, bande, gruppe|
BAND-BOX|n.|chapel-buxe|
BANDAGE|v.|bandagear|
BANDAGE|n.|bandage|
BANDIT|n.|bandite, brigante|
BANDOLIER|n.|bandoliere|
BANDY|v.|jettar a ci e ta, exchangear|
BANDYLEGGED|adj.|convex-gambat|
BANE|n.|venen, ruine|
BANEFUL|adj.|venenosi, desutil|
BANG|n.|crac, detonation; (blow) colpe, batte|
BANG ONE ABOUT|v.|mal tractar|
BANGLE|n.|brasselette|
BANISH|v.|bannir (-iment), proscrir, exiliar; (sorrow) forchassar|
BANISTER|n.|balustre (-ade)|
BANJO|n.|banjó|
BANK|fin.|bank (-ero); (embankment) diga; (of earth) altage; (of river) rive; (slope) declive, scarpette|
BANK|v.|deposir in li bank, inbankar|
BANKNOTE|n.|bank-billet|
BANKRUPT|adj.|bancrott|
BANKRUPT|n.|bancrotte, bankrupt ie|
BANNER|n.|baniere, standarte|
BANQUET|n.|banquette (-ar), festine|
BANTAM|n.|bantam|
BANTER|v.|persiflar, tirellar, jocar|
BAPTISE|v.|baptisar|
BAPTISM|n.|baptisa, baptisme (-al)|
BAR|n.|(of wood, metal) barre, pal, lingot; (bolt) clud-bolte; (mus.) mesura; (publichouse) bar, bufete; (tollbar) barriere; (law) corte, tribunale|
BAR|v.|impedir, barrar; incombrar|
BARB|n.|croc|
BARBARIAN|n.|barbaro (-ic, -ie, -isar)|
BARBER|n.|barbero, rasator|
BARBICAN|n.|garda-turre, watch-turre, barbacan|
BARD|n.|bardo (-ic)|
BARE|v.|nudar; decoltar|
BARE|adj.|nud, simplic; (empty) vacui; (mean) mesquin, miserabil|
BAREFACED|adj.|ínpudent, audaci, arogant|
BAREFOOTED|adj.|nudipedi, nudipedat|
BAREHEADED|adj.|nudicapat|
BARELY|adv.|apen|
BARGAIN|n.|(agreement) arangeament, negocie; (cheap purchase) un modic compra|
BARGAIN|v.|negociar, merc(ach)ar|
BARGE|n.|barge (-ero), canal-bote|
BARITONE|n.|bariton|
BARIUM|n.|barium|
BARK|n.|(boat) barca, nave; (of dog) aboya; (tree) cortice|
BARK|v.|aboyar; (trees) decorticar|
BARLEY|n.|hordeo|
BARM|n.|leven|
BARN|n.|graniere|
BARNACLE|n.|(goose) barnacle; (crustacean) cirripede|
BAROMETER|n.|barometre (-ic)|
BARON|n.|baron (-essa)|
BAROQUE|adj.|baroc|XXX FIXME -- baroc?
BARQUE|n.|barca|
BARRACKS|n.|baracca, caserne|
BARRAGE|n.|barrage|
BARREL|n.|baril; (tun) tonel; (of gun) fusiltube|
BARREN|adj.|steril (-itá), ínfertil, ínfecund; desert, ínhabitat|
BARRICADE|n.|barricade (-ar)|
BARRIER|n.|barriere|
BARRISTER|n.|avocate|
BARROW|n.|(mound) tumul; (wheelbarrow) pussacarrette|
BARTER|n.|troc (-ar); exchangear|
BAS-RELIEF|n.|bass-relief|
BASALT|n.|basalte|
BASE|adj.|bass, vil, abject|
BASE|n.|base, funde; (pedestal) socle|
BASEMENT|n.|etage subterran, cava|
BASH|v.|batter|
BASHFUL|adj.|pudic, timid|
BASIC|adj.|basic, fundamental, elementari|
BASIN|n.|cope, scudelle, vase; bassine; (washbasin) lavuore|
BASIS|n.|base|
BASK|n.|Basco|
BASK|v.|insolar se|
BASKET|n.|corbe (-ero)|
BASS|n.|(fish) perche; (bast) bast; (mus.) basse; (singer) bassist|
BASSOON|n.|basson|
BAST|n.|bast, fibre|
BASTARD|n.|bastarde|
BASTE|v.|versar grasse sur, arosear|
BASTION|n.|bastion|
BAT|n.|(cricket) bat; (mammal) mus-volant|
BATCH|n.|gruppe, serie; (bread) fornade|
BATH|n.|balne; (vessel) balnuore|
BATHE|v.|balnear; inmerser|
BATHROOM|n.|chambre balneari|
BATHS|n.|balnería, piscine|
BATMAN|n.|servitor de oficero; soldate de ordonantie|
BATRACHIAN||batracian|XXX FIXME
BATTALION|n.|battallion|
BATTEN|n.|latte|
BATTEN|v.|grassijar|
BATTER|n.|farin-pasta|
BATTER|v.|batter, dismartellar|
BATTERING-RAM|n.|assalt-ramme|
BATTERY|n.|batterie|
BATTLE|n.|battallie, combatte|
BATTLEDORE AND SHUTTLECOCK||rácket e volante|XXX FIXME
BATTLELMENTS|n.|bastion, parapete, crenel|
BAUBLE|n.|auripelle, ludette, bagatelle|
BAULK|n.|trave|
BAWD|n.|copulero|
BAWDY|adj.|lasciv|
BAWL|v.|clamar, criachar, crialliar|
BAY|adj.|rubi-brun, rubatri, bai|
BAY|v.|aboyar, beyar|
BAY|n.|bay, golfe; (tree) lauriero; (arch.) alcove|
BAYONET|n.|bayonette|
BAZAAR|v.|bazar|
BE|v.|esser, exister; (of health) standar|
BE ABASHED|v.|hontar, esser confuset, embarassat|
BE ABLE|v.|posser|
BE ABOUT SOMETHING|v.|ocupar se pri|
BE ABOUT TO|v.|esser sur li punctu de|
BE ADRIFT|v.|drivar, esser flott|
BE AFRAID|v.|timer|
BE AHEAD OF|v.|esser in avan de, esser in facie de|
BE ALARMED|v.|anxiar se|
BE ALIVE WITH|v.|formicar ye|
BE AMISS WITH|v.|mancar|
BE AN OLD STAGER|v.|saver li trantran|
BE APPREHENSIVE OF|v.|esser ínquiet, timer pri|
BE APT TO|v.|tender|
BE ASHAMED|v.|hontar|
BE AT A LOSS|v.|ne saver|
BE AT LOGGERHEADS|v.|querellar|
BE AT THE HEAD OF|v.|esser ye li punta, preceder|
BE AWARE|v.|saver; (conscious of) conscier|
BE BACKWARD|v.|aprender desfacilmen|
BE BECALMED|v.|esser haltat de calme|
BE BORN|v.|nascer|
BE COGNIZANT OF|v.|saver|
BE COLD|v.|(feel cold) friger|
BE CONSCIOUS OF|v.|conscier|
BE CONSPICUOUS BY ITS ABSENCE|v.|brilliar per su tot absentie|
BE CONVENIENT|v.|convener|
BE DEFUNCT|v.|ne plu exister|
BE DELIRIOUS|v.|delirar|
BE DESIROUS|v.|desirar|
BE DISENGAGED|v.|esser líber, ínocupat|
BE DISPOSED|v.|esser inclinat|
BE EQUIVALENT|v.|equivaler|
BE FACED WITH|v.|star avan|
BE FAMISHED|v.|famear|
BE FOND OF|v.|amar, apreciar|
BE FURIOUS|v.|furer|
BE GLIB|v.|parlar suavimen, parlar volubilmen|
BE HOPEFUL|v.|esperar|
BE IDLE|v.|ne esser ocupat; ne functionant|
BE IN A HUFF|v.|budar|
BE IN A QUANDARY|v.|ne saver quo far|
BE IN THE HABIT|v.|esser acustomat|
BE IN THE SAME BOAT|v.|navigar in li sam bote|
BE IN THE WAY|v.|obstructer, impedir|
BE INTERMITTENT|v.|intermitter|
BE LACKING|v.|mancar|
BE LEFT OVER|v.|restar|
BE MISTAKEN|v.|errar|
BE OBLIGED|v.|dever|
BE OFF FOOD|v.|li apetite manca me|
BE OFF!|interj.|for!, via!|
BE ON DUTY|v.|dejorar|
BE OUT OF|v.|esser sin, mancar|
BE PALE|v.|paller|
BE PARTIAL TO|v.|haver un predilection por|
BE PLEASED|v.|joyar, esser content|
BE PRESENT|v.|assister|
BE PRIVY TO|v.|haver conossentie de|
BE QUITS|v.|esser quitt|
BE RAMPANT|v.|exuberar, luxuriar; reyer|
BE REPUTED|v.|haver li reputation|
BE RESPONSIBLE|v.|responsar|
BE SENSIBLE OF|v.|conscier|
BE SHORT OF|v.|besonar, mancar|
BE SICK|v.|(vomit) vomir|
BE SICK OF|v.|esser sat de|
BE SLOW|v.|(of clock) retardar|
BE STRANDED|v.|misviar, misviagear|
BE SURE|v.|comprende se|
BE TAKEN UNAWARES|v.|esser surprisat|
BE UNABLE|v.|ne posser|
BE UNAWARE|v.|ne saver|
BE UNWILLING|v.|ne voler, ne esser pret|
BE VACANT|v.|vacar|
BE WANTING|v.|mancar|
BE WELL|v.|standar bon|
BE WONT|v.|customar|
BE WORTH|v.|valer|
BE WORTHY OF|v.|meriter (-osi, -ori)|
BE ZEALOUS|v.|zelar (-ator, -ation)|
BEACH|v.|strandar|
BEACH|n.|plage, borde|
BEACON|n.|fares turre lucent; (on a hill) fanale; (at sea) boye, signal-marca, mar-signe|
BEAD|n.|perle, globette|
BEADLE|n.|pedello; servitor de tribunale; (church) intendante|
BEAGLE|n.|chass-cane|
BEAK|n.|bec|
BEAKER|n.|cope; (goblet) calice, bocale|
BEAM|v.|radiar|
BEAM|n.|radie; (wood) trave; (of scales) brasse|
BEAN|n.|faseol; (broadbean) fabe|
BEAR|n.|(animal) urso (-a)|
BEAR|v.|(carry) portar; (give birth to) parturir, dar nascentie a; (endure) suffrer, tolerar, suportar; (fruit) portar|
BEAR THE BRUNT|v.|suportar li pesa, li max pesant colpe|
BEAR TO WINDWARD|v.|luvear|
BEAR WITNESS|v.|atestar|
BEARD|n.|barbe|
BEARDED|adj.|barbat|
BEARING|n.|statura, postura; (mech.) suporte|
BEARINGS|n.|(heraldry) insigne|
BEAST|n.|bestie, animale; (pejor.) brute|
BEAST OF PREY|n.|bestie predatori|
BEAST OF PREY|n.|bestie raptaci|
BEASTLY|adj.|bestial, repugnant, abominabil|
BEAT|v.|batter, bastonar, frappar; (of pulse) pulsar; (surpass) superar; (conquer) victer; (eggs) quirlar; (heart) palpitar; (beat the air) frappar in vacuitá|
BEATEN TRACK|n.|batte, grappa; (mus.) tacte|
BEATEN TRACK|n.|trantran|
BEATIFIC|adj.|beatific|
BEATITUDE|n.|beatitá; (beatitudes) beatitude|
BEAU|n.|dandy, eleganto, amanto; cortesan|
BEAUTIFUL|adj.|bell (-ar, -itá)|
BEAVER|n.|castor; (helmet) visiere|
BECALM|v.|calmar|
BECAUSE|conj.|pro que|
BECAUSE OF|prep.|caus, pro|
BECK|n.|riverette; (nod) signe|
BECOME|v.|devenir; (beseem) decer, convener|
BECOME AWARE|v.|percepter|
BECOME MOULDY|v.|mofar se|
BED|v.|plantar, inbedar|
BED|n.|lette; (hort.) bed; (a layer) strate|
BEDAUB|v.|pictachar, sordidar|
BEDECK|v.|ornar, decorar|
BEDIZEN|v.|ornachar, pomponar se|
BEDLAM|n.|hospitale de alienates; tumultu, pandemonie|
BEDOUIN|n.|beduin (-a, -o)|
BEDRAGGLE|v.|insordidar|
BEDROOM|n.|lett-chambre, dormitoria|
BEDSTEAD|n.|lette-frame, lettiere|
BEE|n.|ape (-iere)|
BEE-KEEPING|n.|apicultura|
BEECH|n.|fago|
BEEF|n.|carne bovin, bovine|
BEEFSTEAK|n.|bifstec|
BEER|n.|bir|
BEESWAX|n.|cire apin|
BEETLE|n.|scarabe; (cockroach) blatte|
BEETROOT|n.|bet-rap|
BEFALL|v.|evenir, accider|
BEFIT|v.|convener, decer|
BEFOG|v.|invelopar in nebul; confuser|
BEFORE|conj.|ante que|
BEFORE|n.|(place) avan (time or place) ante; (already) ja; (in the presence of) córam; (previously) antey|
BEFORE HE CAME|expr.|ante que il arivat|
BEFOREHAND|adv.|in ante, in avanse, antecipatmen|
BEFOUL|v.|sordidar, macular|
BEFRIEND|v.|protecter, patronisar|
BEG|v.|(alms) mendicar; (request) petir, suplicar, implorar|
BEGET|v.|geniter, procrear, generar|
BEGGAR|v.|apovrar|
BEGGAR|n.|mendico|
BEGGAR ALL DESCRIPTION|v.|superar omni descrition|
BEGGARLY|adj.|miserabil|
BEGIN|v.|comensar, iniciar|
BEGINNING|n.|comense|
BEGONE|interj.|for!, via!|
BEGONIA|n.|begonie|
BEGRIME|v.|(in)sordidar, nigrar|
BEGRUDGE|v.|invidiar|
BEGUILE|v.|(time) passar, acurtar; (delude) decepter, dupar|
BEHALF|n.|profite, avantage|
BEHAVE|v.|conduir se|
BEHAVIOUR|n.|conduida|
BEHEAD|v.|decapitar (-ation)|
BEHEST|n.|ordon, decrete, comanda|
BEHIND|adv.|in detra|
BEHIND|n.|cul, posteriore|
BEHIND|prep.|detra|
BEHIND THE SCENES|adv.|detra li culisse|
BEHOLD|v.|vider, spectar, regardar|
BEHOLD!|interj.|vi!|
BEHOVE|v.|convener|
BEING|n.|(creature) ente, creatura; natura, essentie|
BELABOUR|v.|bastonar|
BELATED|adj.|retardat|
BELAUD|v.|laudar, glorificar|
BELAY|v.|securar, amarrar|
BELCH|v.|ructar|
BELCH OUT|v.|expulser, erupter, exsputar|
BELDAME|n.|sorciarda|
BELEAGUER|v.|assediar|
BELFRY|n.|cloch-turre, clochiere|
BELIE|v.|refutar, dementir|
BELIEF|n.|crede(ntie); conviction|
BELIEVE|v.|creder; (opine) opiner|
BELITTLE|v.|depreciar|
BELL|n.|cloche; (hand bell) tintinette; (of flower) cálice|
BELL-CLAPPER|n.|battente|
BELLE|n.|bella|
BELLICOSE|adj.|guerraci, puniaci, combattaci|
BELLIED|adj.|corpulent, ventrut|
BELLIGERENT|adj.|guerreant, hostil|
BELLIGERENT|n.|guerreante|
BELLOW|v.|muir (-ida)|
BELLOWS|n.|sufflette, suffluore|
BELLY|n.|ventre, abdómine|
BELONG|v.|apartener|
BELONGINGS|n.|possedage, proprieté|
BELOVED|n.|cara, caro|
BELOVED|adj.|car, amat, carissim|
BELOW|adv.|infra, in infra|
BELOW|prep.|sub|
BELOW PAR|adv.|infra pari|
BELT|n.|cintura|
BELVEDERE|n.|belvedere|
BEMOAN|v.|deplorar, regretar, lamentar|
BENCH|n.|banca; (leg) tribunale; (carp.) rabotuore|
